Condition,Wtd_Mean,St_Error
Adults_PLGG,0.809,0.00255102
Children_PLGG,0.8671,0.02409
cancer_noAE,0.8211,0.00311
stroke,0.574,0.01003
visual,0.2678,0.01435
Children_auditory,0.707,0.03838
Adults_auditory,0.6056,0.00484
neurologic,0.574,0.01003
cancer_ever,0.8073,0.00359
heart,0.759,0.0018
NonAdults_PLGG,0.892,0.00066
NonChildren_PLGG,0.892,0.00066
Nonstroke,0.874,0.0007
Nonvisual,0.875,0.0007
NonChildren_auditory,0.88,0.00069
NonAdults_auditory,0.88,0.00069
Nonneurologic,0.874,0.0007
Noncancer_ever,0.876,0.00072
Nonheart,0.878,0.00068
Noncancer_noAE,0.892,0.00066
