"time"	"n.risk"	"n.event"	"n.censored"
0	37	0	2
0.736842105263158	35	0	0
0.754385964912281	35	0	0
0.771929824561403	35	0	0
0.771929824561403	35	0	0
0.789473684210526	35	0	0
0.789473684210526	35	0	0
0.807017543859649	35	0	1
0.87719298245614	34	0	0
0.894736842105263	34	0	0
0.894736842105263	34	0	0
0.912280701754386	34	0	1
1.40350877192982	33	0	0
1.42105263157895	33	0	1
1.56140350877193	32	0	0
1.57894736842105	32	0	0
1.57894736842105	32	0	0
1.59649122807018	32	0	0
1.59649122807018	32	0	0
1.6140350877193	32	0	0
1.6140350877193	32	0	0
1.63157894736842	32	1	0
1.70175438596491	31	0	1
1.71929824561404	30	1	0
1.73684210526316	29	0	0
1.75438596491228	29	0	0
1.75438596491228	29	0	0
1.7719298245614	29	0	0
1.7719298245614	29	0	0
1.78947368421053	29	0	0
1.78947368421053	29	0	0
1.80701754385965	29	0	0
1.82456140350877	29	0	0
1.84210526315789	29	0	0
1.87719298245614	29	0	0
1.89473684210526	29	1	0
1.89473684210526	28	0	0
1.91228070175439	28	0	0
1.91228070175439	28	0	0
1.92982456140351	28	0	0
1.96491228070175	28	0	0
1.98245614035088	28	3	0
2	25	0	0
2.01754385964912	25	0	0
2.3859649122807	25	0	0
2.40350877192982	25	0	0
2.43859649122807	25	0	0
2.45614035087719	25	0	0
2.45614035087719	25	0	0
2.47368421052632	25	0	0
2.47368421052632	25	0	0
2.49122807017544	25	1	0
2.49122807017544	24	0	0
2.50877192982456	24	0	0
2.50877192982456	24	0	0
2.52631578947368	24	0	0
2.52631578947368	24	0	0
2.54385964912281	24	0	0
2.54385964912281	24	0	0
2.56140350877193	24	0	0
2.80701754385965	24	0	0
2.82456140350877	24	0	0
2.8421052631579	24	0	0
2.85964912280702	24	0	0
2.85964912280702	24	0	0
2.87719298245614	24	0	0
2.89473684210526	24	0	0
2.91228070175439	24	2	0
2.91228070175439	22	0	0
2.92982456140351	22	0	0
2.96491228070175	22	0	0
2.98245614035088	22	0	0
2.98245614035088	22	0	0
3	22	0	0
3	22	0	1
3.01754385964912	21	0	0
3.47368421052632	21	0	0
3.49122807017544	21	0	0
3.52631578947368	21	0	0
3.54385964912281	21	0	0
3.54385964912281	21	0	0
3.56140350877193	21	0	0
3.57894736842105	21	0	0
3.59649122807018	21	0	0
3.59649122807018	21	0	0
3.6140350877193	21	1	0
3.64912280701754	20	0	0
3.66666666666667	20	0	0
3.66666666666667	20	0	0
3.68421052631579	20	0	0
3.68421052631579	20	0	0
3.70175438596491	20	0	0
3.71929824561404	20	0	0
3.73684210526316	20	0	0
3.92982456140351	20	0	0
3.94736842105263	20	0	0
3.96491228070175	20	0	0
3.98245614035088	20	1	0
4.01754385964912	19	0	0
4.03508771929825	19	0	0
4.03508771929825	19	0	0
4.05263157894737	19	0	0
4.08771929824561	19	0	0
4.10526315789474	19	0	0
4.12280701754386	19	0	0
4.14035087719298	19	0	0
4.92982456140351	19	0	0
4.94736842105263	19	0	0
5.05263157894737	19	0	0
5.07017543859649	19	0	0
5.07017543859649	19	0	0
5.08771929824561	19	1	0
5.14035087719298	18	0	0
5.1578947368421	18	0	0
5.1578947368421	18	0	0
5.17543859649123	18	0	0
5.17543859649123	18	0	0
5.19298245614035	18	0	0
5.19298245614035	18	0	0
5.21052631578947	18	0	0
5.75438596491228	18	0	0
5.7719298245614	18	0	0
5.82456140350877	18	0	0
5.8421052631579	18	0	0
5.8421052631579	18	0	0
5.85964912280702	18	1	0
5.85964912280702	17	0	0
5.87719298245614	17	0	0
5.91228070175439	17	0	0
5.92982456140351	17	0	0
5.94736842105263	17	0	0
5.96491228070175	17	0	0
5.96491228070175	17	0	0
5.98245614035088	17	0	0
7.12280701754386	17	0	0
7.14035087719298	17	0	0
7.17543859649123	17	0	0
7.19298245614035	17	0	0
7.2280701754386	17	0	0
7.24561403508772	17	0	0
7.26315789473684	17	0	0
7.28070175438596	17	2	0
7.31578947368421	15	0	0
7.33333333333333	15	0	0
7.36842105263158	15	0	0
7.3859649122807	15	0	0
7.3859649122807	15	0	0
7.40350877192982	15	0	0
7.40350877192982	15	0	0
7.42105263157895	15	0	0
7.43859649122807	15	0	0
7.45614035087719	15	1	0
7.45614035087719	14	0	0
7.47368421052632	14	0	0
7.47368421052632	14	0	0
7.49122807017544	14	0	0
7.49122807017544	14	0	0
7.50877192982456	14	0	0
7.50877192982456	14	0	0
7.52631578947368	14	0	0
7.52631578947368	14	0	0
7.54385964912281	14	1	0
7.54385964912281	13	0	0
7.56140350877193	13	0	0
7.56140350877193	13	0	0
7.57894736842105	13	0	0
7.57894736842105	13	0	0
7.59649122807017	13	0	0
7.6140350877193	13	0	0
7.63157894736842	13	1	0
7.63157894736842	12	0	0
7.64912280701754	12	0	0
7.68421052631579	12	0	0
7.70175438596491	12	0	2
9	10	0	0
9.01754385964912	10	0	0
9.01754385964912	10	0	0
9.03508771929824	10	0	0
9.08771929824561	10	0	0
9.10526315789474	10	1	0
9.12280701754386	9	0	0
9.14035087719298	9	0	0
9.2280701754386	9	0	0
9.24561403508772	9	0	0
9.29824561403509	9	0	0
9.31578947368421	9	0	0
9.31578947368421	9	0	0
9.33333333333333	9	0	0
9.33333333333333	9	0	0
9.35087719298246	9	0	1
9.87719298245614	8	0	0
9.89473684210526	8	0	0
9.89473684210526	8	0	0
9.91228070175439	8	0	1
11.1578947368421	7	0	0
11.1754385964912	7	0	0
11.1754385964912	7	0	0
11.1929824561404	7	0	0
11.2105263157895	7	0	0
11.2280701754386	7	0	0
11.2280701754386	7	0	0
11.2456140350877	7	1	0
11.2631578947368	6	0	0
11.280701754386	6	0	0
11.2982456140351	6	0	0
11.3157894736842	6	0	1
11.7894736842105	5	0	0
11.8070175438596	5	0	0
11.8070175438596	5	0	0
11.8245614035088	5	0	0
11.8421052631579	5	0	0
11.859649122807	5	0	0
11.8771929824561	5	0	0
11.8947368421053	5	0	0
11.8947368421053	5	0	0
11.9122807017544	5	1	0
11.9122807017544	4	0	0
11.9298245614035	4	0	0
11.9473684210526	4	0	0
11.9649122807018	4	0	0
11.9824561403509	4	0	0
12	4	0	0
13.0701754385965	4	0	0
13.0877192982456	4	0	0
13.1052631578947	4	0	0
13.1228070175439	4	0	0
13.1228070175439	4	0	0
13.140350877193	4	0	0
13.1578947368421	4	0	0
13.1754385964912	4	1	0
13.2105263157895	3	0	0
13.2280701754386	3	0	0
13.2280701754386	3	0	0
13.2456140350877	3	0	0
13.2456140350877	3	0	0
13.2631578947368	3	0	0
13.4035087719298	3	0	1
13.4210526315789	2	0	0
13.4385964912281	2	0	0
13.4561403508772	2	0	0
13.4561403508772	2	0	0
13.4736842105263	2	0	0
14.8245614035088	2	0	0
14.8421052631579	2	0	0
14.8421052631579	2	0	0
14.859649122807	2	0	0
14.859649122807	2	0	0
14.8771929824561	2	0	0
14.8771929824561	2	0	0
14.8947368421053	2	0	0
14.9122807017544	2	0	0
14.9298245614035	2	0	0
14.9298245614035	2	0	0
14.9473684210526	2	1	0
15	1	0	0
15.0175438596491	1	0	0
15.0526315789474	1	0	0
15.0701754385965	1	0	0
22.5087719298246	1	0	0
22.5263157894737	1	0	0
22.5614035087719	1	0	0
22.578947368421	1	0	0
