"time"	"n.risk"	"n.event"	"n.censored"
0	37	0	0
0	37	0	0
0.0126582278481013	37	0	0
0.0253164556962025	37	0	0
0.0379746835443038	37	0	0
0.0379746835443038	37	0	0
0.0506329113924051	37	1	0
0.0506329113924051	36	0	0
0.0632911392405063	36	0	0
0.20253164556962	36	0	0
0.215189873417722	36	0	0
0.215189873417722	36	0	0
0.227848101265823	36	0	2
0.69620253164557	34	0	0
0.708860759493671	34	0	3
1.73417721518987	31	0	0
1.74683544303797	31	0	0
1.77215189873418	31	0	0
1.78481012658228	31	0	0
1.88607594936709	31	0	0
1.89873417721519	31	1	0
1.93670886075949	30	0	0
1.94936708860759	30	0	0
1.94936708860759	30	0	0
1.9620253164557	30	1	0
1.9620253164557	29	0	0
1.9746835443038	29	0	0
1.9746835443038	29	0	0
1.9873417721519	29	1	0
1.9873417721519	28	0	0
2	28	0	0
2.11392405063291	28	0	0
2.12658227848101	28	0	0
2.12658227848101	28	0	0
2.13924050632911	28	0	0
2.13924050632911	28	0	0
2.15189873417722	28	1	0
2.81012658227848	27	0	0
2.82278481012658	27	1	0
2.83544303797468	26	0	0
2.84810126582278	26	0	0
2.86075949367089	26	0	0
2.87341772151899	26	0	1
3.43037974683544	25	0	0
3.44303797468354	25	0	0
3.44303797468354	25	0	0
3.45569620253165	25	0	0
3.48101265822785	25	0	0
3.49367088607595	25	1	0
3.49367088607595	24	0	0
3.50632911392405	24	0	0
3.64556962025316	24	0	0
3.65822784810127	24	0	0
3.65822784810127	24	0	0
3.67088607594937	24	0	0
3.87341772151899	24	0	0
3.88607594936709	24	1	0
3.88607594936709	23	0	0
3.89873417721519	23	0	1
6	22	0	0
6.0126582278481	22	0	0
6.9873417721519	22	0	0
7	22	1	0
7	21	0	0
7.0126582278481	21	0	1
7.88607594936709	20	0	0
7.89873417721519	20	0	4
12.5189873417722	16	0	2
12.5316455696203	14	0	1
12.5316455696203	13	0	0
12.5443037974684	13	1	0
12.5569620253165	12	0	0
12.5696202531646	12	0	1
31.3291139240506	11	0	0
31.3417721518987	11	0	0
31.3544303797468	11	0	0
