"time"	"n.risk"	"n.event"	"n.censored"
0	73	0	0
0.0632911392405063	73	0	0
0.0759493670886076	73	0	0
0.0886075949367089	73	0	0
0.0886075949367089	73	0	0
0.10126582278481	73	0	0
0.658227848101266	73	0	0
0.670886075949367	73	1	0
1.56962025316456	72	0	0
1.58227848101266	72	0	0
1.58227848101266	72	0	0
1.59493670886076	72	0	0
1.60759493670886	72	0	0
1.62025316455696	72	0	0
1.77215189873418	72	0	0
1.78481012658228	72	0	0
1.78481012658228	72	0	0
1.79746835443038	72	1	0
1.79746835443038	71	0	0
1.81012658227848	71	0	0
1.81012658227848	71	0	0
1.82278481012658	71	0	0
1.82278481012658	71	0	0
1.83544303797468	71	0	0
1.83544303797468	71	0	0
1.84810126582278	71	0	0
1.86075949367089	71	0	0
1.87341772151899	71	0	0
1.87341772151899	71	0	0
1.88607594936709	71	0	0
1.88607594936709	71	0	0
1.89873417721519	71	1	0
1.89873417721519	70	0	0
1.91139240506329	70	0	0
1.92405063291139	70	0	0
1.93670886075949	70	0	0
1.93670886075949	70	0	0
1.94936708860759	70	1	1
5.35443037974684	68	0	0
5.36708860759494	68	1	0
5.36708860759494	67	0	0
5.37974683544304	67	0	0
11.0632911392405	67	0	9
11.0759493670886	58	1	5
11.0759493670886	52	0	0
11.0886075949367	52	0	0
11.0886075949367	52	0	0
11.1012658227848	52	0	0
11.1012658227848	52	0	0
11.1139240506329	52	0	0
11.1139240506329	52	0	0
11.126582278481	52	0	0
11.1392405063291	52	0	0
11.1518987341772	52	0	5
16.5316455696203	47	0	8
16.5443037974684	39	1	1
16.5443037974684	37	0	0
16.5569620253165	37	0	0
16.5569620253165	37	0	0
16.5696202531646	37	0	0
16.5822784810127	37	0	0
16.5949367088608	37	0	0
16.5949367088608	37	0	0
16.6075949367089	37	0	0
16.6075949367089	37	0	0
16.620253164557	37	0	0
16.620253164557	37	0	0
16.6329113924051	37	0	0
16.6329113924051	37	0	0
16.6455696202532	37	0	0
16.6455696202532	37	0	0
16.6582278481013	37	0	0
16.6582278481013	37	0	0
16.6708860759494	37	0	0
16.6708860759494	37	0	0
16.6835443037975	37	0	0
16.6835443037975	37	0	0
16.6962025316456	37	0	0
17.4683544303797	37	0	0
17.4810126582278	37	1	0
17.4810126582278	36	0	0
17.493670886076	36	1	8
27.2151898734177	27	0	3
27.2278481012658	24	2	4
27.2278481012658	18	0	5
27.2405063291139	13	0	2
27.3291139240506	11	0	0
27.3417721518987	11	0	0
27.3417721518987	11	0	0
27.3544303797468	11	0	0
27.3670886075949	11	0	0
27.379746835443	11	0	6
35.0632911392405	5	0	0
35.0759493670886	5	0	4
35.0759493670886	1	0	0
35.0886075949367	1	0	0
35.1772151898734	1	0	0
35.1898734177215	1	0	0
35.1898734177215	1	0	0
35.2025316455696	1	0	0
35.2025316455696	1	0	0
35.2151898734177	1	0	0
35.253164556962	1	0	0
